연번,펜션명,도로명 주소,지번 주소,전화번호
1,꿈꾸는새재,문경시 문경읍 새재2길 18,문경시 문경읍 상초리 288-8 ,054-571-7776
2,산중모텔펜션,문경시 문경읍 새재2길 36,문경시 문경읍 상초리 288-2 ,054-571-7973
3,해가빛,문경시 농암면 청화로 551-2,문경시 농암면 내서리 273 ,054-571-8998
4,문경새재국민여가캠핑장,문경시 문경읍 새재1길 47,문경시 문경읍 하초리 365 ,054-572-3762
5,이둔펜션,문경시 문경읍 활공장길 115,문경시 문경읍 고요리 72-1 ,054-572-3340
6,수피아펜션,문경시 문경읍 활공장길 123,문경시 문경읍 고요리 72-2 ,054-572-0586
7,문경가름펜션,문경시 문경읍 새재2길 10,문경시 문경읍 상초리 288-10 ,054-571-3311
8,문경 힐링펜션,문경시 문경읍 온천8길 23,문경시 문경읍 하리 398-3 ,054-572-4909
9,문경힐링휴양촌,문경시 문경읍 새재로 600,문경시 문경읍 진안리 97 ,054-572-4100
10,사우정,문경시 농암면 청화로 582-7,문경시 농암면 내서리 334 ,
11,SALUS(살루스),문경시 마성면 봉명길 227-19,문경시 마성면 외어리 533-8 ,
12,강이있는풍경,문경시 마성면 구랑로 333,문경시 마성면 신현리 468-1,054-572-3375
13,청화원,농암면 궁터길 179-126,농암면 궁기리 45-5,054-571-6608
14,쌍용계곡,농암면 청화로 223-3,농암면 내서리 687,054-533-0988
15,다락산장,농암면 다락갈골길 53-18,농암면 내서리 405-1,054-571-3339
16,다락골초록원,농암면 서재로 703,농암면 내서리 353,054-571-8288
17,쌍용쉼터,농암면 청화로 547,농암면 내서리 272,054-571-9911
18,13월의아침,마성면 진남1길 177-6,마성면 신현리 110-9,054-552-1050
19,동화원산장,문경읍 새재1길 48,문경읍 하초리 348-13,054-571-2554
20,문경새재초은펜션슈퍼,문경읍 새재로 882-1,문경읍 하초리 344-9,054-572-0178
21,옹달샘황토민박,문경읍 새재로 862,문경읍 하초리 345-10,054-572-3555
22,선유동민박,가은읍 학천정길 22 ,가은읍 완장리 403,054-571-4834
23,금부자민박,가은읍 대야로 1691,가은읍 완장리 49-1,054-571-9006
24,송원산장,동로면 여우목로 2471-5,동로면 적성리 1087,054-553-0665
25,황장산민박,동로면 안생달길 238,동로면 생달리 549-2,054-552-1779
26,반석위의집,농암면 청화로 579,농암면 내서리 303,
27,농암민박,농암면 청화로 581-6,농암면 내서리 311-1,
28,황토민박,문경읍 새재로 864 ,문경읍 하초리 345-13,
29,강변살자,마성면 구랑로 228-11,마성면 신현리 555-19,
30,문경의 비밀정원 연휴,동로면 여우목로 2371-5,동로면 생달리 18,
31,나실황토민박,마성면 하내1길 32-32,마성면 하내리 375-1,054-572-0874
32,쌍용민박,농암면 서재로 909-6,농암면 내서리 335-4,
33,화이트하우스,농암면 서재로 909-8,농암면 내서리 335-1,
34,숲속의맑은향기,문경읍 영산길 15,문경읍 팔영리 390,054-571-8559
35,힐하우스,농암면 청화로 581-4,농암면 내서리 311,
36,쌍용계곡도장산하우스,농암면 청화로 508,농암면 내서리 263-1,
37,해바라기,농암면 청화로 695,농암면 내서리 239-1,
38,가고픈주흘산자락,문경읍 주흘로 241-25,문경읍 요성리 183-5,
39,제니하우스,마성면 진남1길 177-9,마성면 신현리 114-18 (2동),
40,애플하우스민박,문경읍 새재로 848,문경읍 하초리 275-1,
41,사랑의집민박,문경읍 동우점길 52,문경읍 고요리 509-1,054-571-5638
42,호미인문경,마성면 구랑1길 33,마성면 하내리 335-6,
43,산내음민박,농암면 청화로 581-10 ,농암면 내서리 315-5,
44,추억만들기Ⅰ민박,농암면 서재로 909-11,농암면 내서리 330-5(주1),
45,솔수펑이민박,농암면 서재로 788,농암면 내서리 347(주2),
46,호미인문경진남민박,마성면 진남1길 196,마성면 신현리 107-3(주1),
47,정이민박,가은읍 양산개5길 11-9,가은읍 왕능리 322-8,
48,산과산사이민박,마성면 상내1길 138-38,마성면 상내리 360-3,054-571-7980
49,영남민박,마성면 진남1길 185,마성면 신현리 110-2,
50,써니스테이,마성면 진남1길 177-9,마성면 신현리 114-18(5동),
51,문경사과원,동로면 금천로 2466-28,동로면 적성리 460,
52,베르체민박,동로면 금천로 2150,동로면 간송리 713-3,
53,강가포근한집,마성면 하내1길 34-18,마성면 하내리 393-5,054-572-0025
54,황소민박,불정강변길 3 (불정동),불정동 67,
55,가인강산,마성면 진남1길 188,마성면 신현리 110,054-553-8886
56,문경민박,마성면 진남1길 177-6,마성면 신현리 110-9,
57,대미산황토민박,문경읍 여우목로 1551,문경읍 중평리 161(주1),
58,수리봉외가집민박,동로면 여우목로 2322-9 ,동로면 생달리 45번지,054-552-0014
59,팜스토리,문경읍 주흘로 241-7,문경읍 요성리 168-1,
60,여우민박,문경읍 여우목로 1422,문경시 문경읍 중평리 332-1,054-571-0669
61,산모롱이민박,동로면 안생달길 153-26,문경시 동로면 생달리 437,054-553-9267
62,가휴민박,문경읍 평천길 45-69,문경읍 평천리 49-2,
63,풍경새재민박,문경읍 새재로 854,문경읍 하초리 345-16,
64,거기그곳에,농암면 다락갈골길 129,농암면 내서리 419,
65,여우목벨리민박,동로면 안생달길 39,동로면 생달리 283-1,
66,해찬솔민박,농암면 서재로 820,농암면 내서리 산53-17,
67,산과강민박,불정강변길 186,불정동 89-7,
68,뒷바리민박,농암면 종곡2길 7,농암면 종곡리 10-1,
69,가은에정원,가은읍 갈전1길 154-1,가은읍 갈전리 417-1,
70,산내들민박,마성면 상내1길 138-34,마성면 상내리 360-4,
71,문경사계민박,마성면 상내1길 138-88,마성면 상내리 494,
72,문경새재황토민박,동로면 안생달길 131-54,동로면 생달리 408,
73,하늘재황토민박,문경읍 관음리 619-1,문경읍 관음리 619-1,
74,다락골케빈하우스,농암면 다락갈골길 49,농암면 내서리 404-3,054-571-6565
75,JIGA민박,가은읍 선유동길 77,가은읍 완장리 393,
76,학유정민박,가은읍 학천정길 32,가은읍 완장리 427-1,
77,금곡농원민박,동로면 금천로 2641,동로면 적성리 224,
78,문경관광농원,마성면 진남1길 177-9,마성면 신현리 114-18,
79,진남한옥,마성면 진남1길 171,마성면 신현리 114-38,
80,찬물내기관광농원,동로면 여우목로 2423-16,동로면 적성리 1080-2,
81,새재의아침,마성면 진남1길 156,문경시 마성면 신현리 120-1,
82,코스모스민박,농암면 서재로 820,농암면 내서리 346-9,
83,빛가람민박,굴모리길 17-7,불정동 101-62,
84,쌍용폭포민박,농암면 서재로 699,농암면 내서리 357-1,
85,황토랑민박,문경읍 새재로 777,문경읍 하초리 119-5,
86,속리뜰민박,농암면 청화로 726,농암면 내서리 224,
87,희양산토담펜션,가은읍 원북길 230,가은읍 원북리 321,
88,가을민박,문경읍 문경대로 2259-22,문경읍 마원리 789-5,
89,진욱이별장자전거게스트하우스,마성면 외어1길 6,마성면 외어1길 6(오천리824-6),
90,아람펜션,산북면 김용길 285-12,산북면 김용리 370-1,
91,석촌민박,가은읍 쟁골길 21,가은읍 하괴리 358-1,
92,청화산하늘정원,농암면 화산길 249,농암면 화산리 730-1,
93,불정자연휴양림황토펜션,불정길 124-7,불정동 312,
94,티롤,문경읍 활공장길 77-1,문경읍 고요리 414-19,
95,추억만들기Ⅱ,농암면 서재로 909-11B동6호,농암면 내서리 330-5,
96,문경희양산민박,가은읍 원북길 8,가은읍 상괴리 826,
97,강변연가,마성면 구랑로 228-9,마성면 신현리 555-33,
98,새재마당바위,문경읍 새재로 900,문경읍 상초리 324-7,
99,문경애,마성면 진남1길 181,마성면 신현리 114-53,
100,수련민박,동로면 노은1길 44-1,동로면 노은리 189-1,
101,JM민박,농암면 밤소길 65-24,농암면 율수리 181-1,
102,바람하우스,문경읍 새재로 910,문경읍 상초리 288-41,
103,새재로그하우스,문경읍 새재로 884-23,문경읍 상초리 308-2,
104,문경가실목,농암면 농암길 44-12,농암면 농암리 209-3,
105,해와달민박,농암면 청화로 569,농암면 내서리 300,
106,행봄농원,문경읍 요성길 18-9,문경읍 요성리 343-17,
107,NAMU62,문경읍 새재1길 62,문경읍 하초리 348-5,
108,문경새재로펜션,문경읍 새재로 587-13,문경읍 진안리 57,
109,금가네민박,산북면 금천로 699,산북면 대하리 21-1,
110,행복쉼터,동로면 석항명봉로 454,동로면 석항리 692,
111,송아지민박,불정강변길 3(불정동),불정동 67,
112,조항산민박,농암면 궁터길 304,농암면 궁기리 439-1,
113,가은희양산아래,가은읍 원북길 109-7,가은읍 상괴리 256,
114,강가힐링민박,마성면 상내1길 70,마성면 상내리 259-4,
115,맑은물민박,가은읍 원북큰마길 3,가은읍 원북리 378,
116,강가의아침,마성면 진남1길 184,마성면 신현리 111-1,
117,마루마루,가은읍 대야로884,가은읍 완장리 545,
118,힐스카이,문경읍 관음길 456-10,문경읍 관음리 산86-4,
119,솔향기민박,가은읍 옥천길 59-6,가은읍 하괴리 485,
120,나동민박,"문경읍 문경대로 2259-2, 나동",문경시 문경읍 마원리 789-15,
121,문경흙집민박,문경읍 여우목로 1611,문경읍 중평리 122-2,
122,주막촌 민박,동로면 금천로 2133,동로면 간송리 720-5,
123,모리아펜션,문경읍 여우목로 1774-10,문경읍 중평리 산45,
124,새재의추억,문경읍 새재1길 56-1,문경읍 하초리 348-8,
125,황토기와집펜션,동로면 여우목로 2186,동로면 생달리 269,
126,폴로네,마성면 은성로 1219,마성면 하내리 224,
127,별토끼,우지길 21,우지동 358-1,
128,봄민박,문경읍 문경대로 2259-15,문경읍 마원리 789-2,
129,꽃마실,호계면 동달길 68-9,호계면 구산리 68,
130,퍼머컬쳐,가은읍 작약로 755-17,가은읍 성저리 242,
131,문경숲속정원,가은읍 완장길 103-3,가은읍 완장리 294-1,
132,여놀자,불정길 123,불정동 319,
133,문경하늘펜션,산북면 김용길 278,산북면 김용리 308,
134,수아민박,문경읍 문경대로 2259-9,문경읍 마원리 789-8,
135,리앙스,문경읍 주흘로 241-14,문경읍 요성리 188,
136,미소민박,"문경읍 문경대로 2259-10, 나동",문경읍 마원리 789-9,
137,가은민박,가은읍 도리실길 2-8,가은읍 하괴리 29-1,
138,팔각정황토민박,농암면 청화로 571,농암면 내서리 303-1,
139,문경더덕나라민박,문경읍 이화령로 422,문경읍 각서리 536-13,
140,고채미,가은읍 작천길 280,가은읍 하괴리 489,
141,문경펜션,가은읍 은성로 832-46,가은읍 갈전리 603-1,
142,청산마을,동로면 여우목로 2520,동로면 적성리 1141-1,
143,천서방네,농암면 청화로 581-12,농암면 내서리 315,
144,거산민박,산북면 운달로 712,산북면 거산리 268-4,
145,낄낄아놀자,영순면 삼강로 1313,영순면 달지리 543-4,
146,가동민박,문경읍 문경대로 2259-18,문경읍 마원리 789-7,
147,포암산민박,문경읍 관음길 456-1,문경읍 관음리 612-3,
148,쌍용밸리하우스,농암면 청화로 500,농암면 내서리 263-6,
149,순이네,주평5길 59,신기동 931,
150,선유동펜션,가은읍 대야로 1490-2,가은읍 완장리 360,
151,예솔이네통나무집,문경읍 여우목로 370-20,문경읍 고요리 896-1,
152,더모스트비이민박,문경읍 문경대로 2259-20,문경읍 마원리 789-6,
153,더모스트에이민박,"문경읍 문경대로 2259-2, 다동",문경읍 마원리 789-15,
154,가은민박,가은읍 죽문2길 241,가은읍 죽문리 397-3,
155,조르바민박,마성면 하내1길 32-90,마성면 하내리 357-4,
156,새재산장,문경읍 새재로 878-1,문경읍 하초리 344-12,
157,외갓집클라스,가은읍 중괴안길 34,가은읍 하괴리 738-2,
158,별보러가자,문경시 가은읍 완장길 103-14,문경시 가은읍 완장길 103-14,
159,더모스트 풀빌라 펜션,문경읍 문경대로 2259-17,문경읍 마원리 789-3,
160,더모스트 민박,"문경읍 문경대로 2259-10, 가동",문경읍 마원리 789-9,
161,담소원펜션,문경대로 948-8,문경시 문경대로 948-8,
162,농선재,가은읍 성저1길 29-122,문경시 가은읍 성저리 605,
163,문경한옥펜션,문경시 문경읍 문경골프장길 27-18,문경시 고요리 629-38,
164,단산한옥펜션,문경시 문경읍 문경골프장길 27-16,문경시 고요리 629-17,
165,무송대민박,문경시 동로면 여우목로 2566,문경시 동로면 적성리 966,0507-1371-3417
166,운월산방,문경시 가은읍 중괴1길 426,문경시 가은읍 하괴리 181,
167,OK펜션,문경시 마성면 구랑로 301,문경시 마성면 신현리 530,
168,그곳만이내세상,문경시 마성면 상내1길 313,문경시 마성면 상내리 800-1,
169,용연빌리지1호,문경시 문경읍 여우목로 892-12,문경시 문경읍 용연리 645-10,
170,용연빌리지2호,문경시 문경읍 여우목로 892-14,문경시 문경읍 용연리 645-9,
171,홈당골펜션,문경시 가은읍 대야로 862-11,문경시 가은읍 완장리 543,
172,리앙스,문경시 문경읍 주흘로 241-14,문경시 문경읍 주흘로 241-14,
173,이둔펜션,문경시 문경읍 활공장길 115,문경시 문경읍 활공장길 115,054-572-3340
174,꿈꾸는 새재펜션,문경시 문경읍 새재2길 18,문경시 문경읍 새재2길 18,054-571-7777
175,청수펜션,문경시 가은읍 용추길 60-8,문경시 가은읍 용추길 60-8,054-571-6542
176,강이 있는 풍경,문경시 마성면 구랑로 333,문경시 마성면 구랑로 333,
177,문경가름펜션,문경시 문경읍 새재2길 10,문경시 문경읍 새재2길 10,
178,문경펜션,문경시 가은읍 은성로 832-46,문경시 가은읍 은성로 832-46,
179,불정자연휴양림황토펜션,문경시 불정길 124-7,문경시 불정길 124-7,
180,새재마당바위,문경시 문경읍 새재로 900,문경시 문경읍 새재로 900,
181,해바라기 캠핑장,문경시 농암면 청화로 695,문경시 농암면 청화로 695,054-571-3500
182,숲이조아 캠핑장,문경시 농암면 청화로 886-128,문경시 농암면 청화로 886-128,0507-1426-5253
183,잉카마야박물관캠핑장,문경시 가은읍 전곡길 13-10,문경시 가은읍 전곡길 13-10,054-572-3170
184,불정자연휴양림캠핑장,문경시 불정길 180,문경시 불정길 180,054-552-9443
185,미산가족오토캠핑장,문경시 마성면 하내리 4-2,문경시 마성면 하내리 4-2,054-572-4801
186,문경히든벨리오토캠핑장,문경시 가은읍 죽문길 271,문경시 가은읍 죽문길 271,054-572-3247
187,그린스톤캠핑장,문경시 가은읍 완장리 351,문경시 가은읍 완장리 351,
188,문경레저투어,문경시 마성면 신현리 130-2,문경시 마성면 신현리 130-2,054-554-3912
189,수예리오토캠핑장,문경시 가은읍 수예리 383,문경시 가은읍 수예리 383,
190,가은해솔캠핑장,문경시 가은읍 원북리 177-6,문경시 가은읍 원북리 177-6,
191,녹색오토 캠핑장,문경시 가은읍 대야로 1560,문경시 가은읍 대야로 1560,
192,젤루느린 달팽이,문경시 가은읍 대야로 1290,문경시 가은읍 대야로 1290,0507-1314-7029
193,㈜씨에스이공,문경시 가은읍 왕능강변길 71,문경시 가은읍 왕능강변길 71,1566-8982
194,단산숲속 캠핑장,문경시 문경읍 활공장길 585,문경시 문경읍 고요리 산 79-2,054-572-7273
195,한성연수원 야영장,문경시 마성면 하내2길 55,문경시 마성면 하내2길 55,054-571-4422
196,성보촌 야영장,문경시 호계면 상무로 23,"문경시 호계면 호계리 23, 660-2",
197,천주봉 야영장,문경시 동로면 금천로 2117,문경시 동로면 간송리 705,0507-1498-8863
198,성요셉 치유마을 야영장,문경시 가은읍 은성로 796-13,문경시 가은읍 갈전리 605-6,054-572-1121
199,반려동물힐링센터글램핑,문경시 문경읍 문경대로 2430,문경시 문경읍 진안리 350-3,
200,더모스트 글램핑,문경시 문경읍 마원리 산 64-5,문경시 문경읍 마원리 산 64-5,054-572-1300
